trait_name,avg_placement,top4_rate,win_rate,games
YordleLord,2.5555555555555554,0.8492063492063492,0.29365079365079366,126
Mastermind,3.624136978735156,0.6638129430175826,0.20086532265488355,10863
Transformer,3.7079436486326505,0.6440156268497691,0.20409612880312536,8447
Glutton,3.886777969679524,0.6121665707157935,0.21051621569756285,5211
Rivals,4.104471544715447,0.5725319396051103,0.1627177700348432,17220
Twinshot,4.192282212653196,0.5559788009274594,0.16056641271944352,12076
Scholar,4.20591538749532,0.554099588169225,0.15023800609723484,18697
Colossus,4.259562434886144,0.5496353624051198,0.13394850424170263,6719
Innovator,4.277777777777778,0.5416793274587258,0.14392788412843108,19746
Enforcer,4.310084177976293,0.5350741567886388,0.14424783828666324,17463
Assassin,4.326278209868673,0.5334055845977305,0.1364911385949254,15686
Chemtech,4.365600412743454,0.5253450277312008,0.14039726557461626,15506
Challenger,4.390477010504563,0.5237644222490098,0.14560013776476666,11614
Socialite,4.373134328358209,0.5233394779092585,0.13569602188261878,16817
Scrap,4.398613963039014,0.5184377138945927,0.13240075290896647,23376
Clockwork,4.397876732527278,0.5176644057800059,0.13624299616632263,16955
Sniper,4.431025285394218,0.5117891816920943,0.13848287634695403,9373
Mercenary,4.445092569109815,0.5113703609772593,0.1525065516949869,11829
Mutant,4.468696502812423,0.5063585228662265,0.12558082660797262,16356
Arcanist,4.466858613085028,0.5029404557706445,0.12717471208037245,16324
Bruiser,4.497487168520102,0.5028336184773311,0.12938408896492729,18704
Bodyguard,4.479551762056867,0.5017542022307169,0.12860658742210818,19097
Syndicate,4.49729756781103,0.497197477729957,0.1256630967871084,19982
Enchanter,4.498088324929351,0.4958164791932177,0.12495151548733861,18047
Hextech,4.54404432132964,0.49383026945353814,0.11463107529589524,19855
Striker,4.550550323385907,0.4926245319414501,0.11953931691818905,17626
Debonair,4.553342472381259,0.48810579791952263,0.12249012176437384,12401
Yordle,4.594062423799073,0.4808583272372592,0.1132040965618142,16404
